Age,Genre,3D,IMAX,Rating_IMDB,Rating_Rotten_Tomatoes,Streaming_Netflix,Streaming_Amazon_Prime,Streaming_Disney+,Actor_1_Popularity,Actor_2_Popularity,Director_Popularity,Marketing_Budget,Viewer_Reviews,Awards_Won,Marketing_Campaign_Success,Sequel,Prequel,Social_Media_Buzz,Movie_Length_minutes,Budget,In_Theaters,Interest Level
56,Romance,0,0,5.60147915980676,66.245495603091,1,1,0,8.149105348183607,92.92226744243408,12.563606665661249,296769.4445289082,2.1215278693676907,0,3.6150716041970976,0,0,85.20786251240249,128,5789100.0749749765,0,Medium
46,Comedy,1,1,5.430929320010637,21.91195131582017,1,0,1,68.75910074586145,58.393974379037424,28.042802416624568,515414.5658970903,8.718903894176446,2,3.5003754523484254,1,1,1.879496579053964,193,37495123.9048241,1,Low
32,Sci-Fi,1,1,6.195511263098181,86.43668630452834,1,1,0,50.81882107100481,67.03664885541004,21.74240320694068,166205.05508767275,9.077579515975186,4,7.00496749534113,0,1,4.626532345112306,174,46435789.70488954,1,Low
60,Action,1,0,8.79019431062097,88.7232500960076,0,1,1,76.74973613626513,91.2461118390422,46.07754623105161,977735.1000126745,9.520371235304994,2,9.062688313076773,0,1,60.075709395260475,118,60951150.159108356,1,High
25,Romance,1,1,9.826654092250864,20.46870491034291,0,1,0,49.04377277210982,35.216396721178164,90.93531723935423,108816.63041002887,4.57739193180365,2,6.201547667630586,1,0,39.509327058443475,215,748303.1865610213,1,Medium
38,Action,1,0,4.668257877164352,74.00518249129705,0,1,1,15.788781986416776,62.52922380267032,11.34355135864185,932012.1955147177,2.954263636339047,2,5.746620584530525,0,0,89.08602368234223,205,98973316.757584,0,High
56,Action,1,1,8.447670298956726,29.365435343785173,0,1,0,65.17743845370438,4.841146018159859,72.30652447079217,913664.4333912922,4.362767366200286,0,2.443457204593042,1,1,30.89620939548764,136,36457494.45206389,1,Medium
36,Action,0,1,7.8807501518924585,80.46139092294004,1,1,0,18.066249848411456,19.490480294881802,69.04101743689965,525835.1213376785,3.9962088660826294,3,7.439112598238349,1,0,43.773051722900696,197,84824656.91373204,0,Medium
40,Drama,0,1,6.1617605631001595,99.72655209045666,0,0,1,87.36706177212668,83.2933347039043,10.479665667672409,725185.3615642483,2.5853852125257406,0,7.320687576741017,1,1,53.263010585325254,66,53543173.8959739,0,Medium
28,Drama,0,1,9.604424292507398,3.9725745276098885,1,1,1,61.69850766785491,76.91006727749524,92.33466808567421,436612.2496746152,6.465400030913392,1,9.702562531004629,0,1,28.030844455738507,96,13130901.507881314,1,Medium
28,Action,1,1,2.804270639755625,89.83922071330225,0,1,1,16.56318447213847,35.71362645425754,57.27874801352514,630404.5429648957,5.28961744457766,2,3.70172965875098,0,1,90.94099187787614,232,79776798.69819874,0,High
41,Romance,1,1,1.9833778927865926,62.64042282626715,1,0,1,96.27146769063947,38.304252149647034,37.00882659243274,341235.36148369755,8.791308930916033,2,7.808009287307786,1,1,46.988824881151615,145,71011724.78449562,0,Medium
53,Sci-Fi,1,1,8.6856577025988,97.3648792973173,0,0,1,52.31818087019674,53.821888921804366,75.89731976603537,301857.8607656599,1.2889862243385242,1,4.906587350778661,0,1,42.99140530278268,75,52790864.88442988,0,Medium
57,Sci-Fi,1,0,4.952348349703735,47.03594223511633,1,1,0,8.216946735293845,1.0238594638283205,26.479180381761772,578651.5563833442,6.794811347996137,2,6.026255124545214,1,1,85.12555184449893,175,51503853.824244626,1,High
41,Comedy,1,0,8.622719687863544,84.891405126566,0,0,1,63.05645753709165,24.88318926776476,69.65747386758572,498631.54450979637,7.86653990660405,2,8.348084700405025,0,0,31.88586176314195,177,8839212.614517713,0,Medium
20,Romance,1,0,9.037811846758734,7.177012791229446,1,1,0,26.066691794268213,21.61494905221323,4.931409549652475,579956.8327808311,7.835379122694763,2,2.9979554051707806,1,0,81.92906910658513,73,65619309.962530024,1,High
39,Drama,0,1,1.562118342571643,34.192625957751275,0,1,0,80.56565173585294,25.79781172822658,84.10139572331792,287373.920705736,8.974665703859726,1,4.085818655746735,0,1,13.105012419413598,198,91133391.05985455,1,Low
19,Action,0,1,8.951182866874547,7.6346372373697875,1,0,0,81.96438528305288,80.7846784108107,45.36891385511053,367590.87398517824,7.561303685465447,0,7.959778031778373,1,1,19.096064803125063,146,9415167.4302137,0,Medium
41,Comedy,1,1,5.0348714983248,97.55897021442799,1,1,0,97.91578822961152,28.687711798097872,64.03259852143623,84814.0626682804,9.350290554829266,2,6.134121237590748,0,0,95.13332495100174,221,26424793.919825602,0,High
